"","exposure.type","of.beta","ot.beta","confounding.coeff","treatment.autocorr.coeff","graph.cluster.randomization","graph.type","degree","p","power","size","graph.id","random.seed"
"1","linear",0,0,0,0,TRUE,"small-world",5,0,NA,1024,1,1
"2","sigmoid",0,0,0,0,TRUE,"small-world",5,0,NA,1024,1,2
"3","exponential",0,0,0,0,TRUE,"small-world",5,0,NA,1024,1,3
"4","rbf-friends",0,0,0,0,TRUE,"small-world",5,0,NA,1024,1,4
"5","linear",1,0,0,0,TRUE,"small-world",5,0,NA,1024,1,5
"6","sigmoid",2,0,0,0,TRUE,"small-world",5,0,NA,1024,1,6
"7","exponential",1,0,0,0,TRUE,"small-world",5,0,NA,1024,1,7
"8","rbf-friends",1,0,0,0,TRUE,"small-world",5,0,NA,1024,1,8
"9","linear",5,0,0,0,TRUE,"small-world",5,0,NA,1024,1,9
"10","sigmoid",10,0,0,0,TRUE,"small-world",5,0,NA,1024,1,10
"11","exponential",5,0,0,0,TRUE,"small-world",5,0,NA,1024,1,11
"12","rbf-friends",5,0,0,0,TRUE,"small-world",5,0,NA,1024,1,12
"13","linear",0,1,0,0,TRUE,"small-world",5,0,NA,1024,1,13
"14","sigmoid",0,2,0,0,TRUE,"small-world",5,0,NA,1024,1,14
"15","exponential",0,1,0,0,TRUE,"small-world",5,0,NA,1024,1,15
"16","rbf-friends",0,1,0,0,TRUE,"small-world",5,0,NA,1024,1,16
"17","linear",1,1,0,0,TRUE,"small-world",5,0,NA,1024,1,17
"18","sigmoid",2,2,0,0,TRUE,"small-world",5,0,NA,1024,1,18
"19","exponential",1,1,0,0,TRUE,"small-world",5,0,NA,1024,1,19
"20","rbf-friends",1,1,0,0,TRUE,"small-world",5,0,NA,1024,1,20
"21","linear",5,1,0,0,TRUE,"small-world",5,0,NA,1024,1,21
"22","sigmoid",10,2,0,0,TRUE,"small-world",5,0,NA,1024,1,22
"23","exponential",5,1,0,0,TRUE,"small-world",5,0,NA,1024,1,23
"24","rbf-friends",5,1,0,0,TRUE,"small-world",5,0,NA,1024,1,24
"25","linear",0,5,0,0,TRUE,"small-world",5,0,NA,1024,1,25
"26","sigmoid",0,10,0,0,TRUE,"small-world",5,0,NA,1024,1,26
"27","exponential",0,5,0,0,TRUE,"small-world",5,0,NA,1024,1,27
"28","rbf-friends",0,5,0,0,TRUE,"small-world",5,0,NA,1024,1,28
"29","linear",1,5,0,0,TRUE,"small-world",5,0,NA,1024,1,29
"30","sigmoid",2,10,0,0,TRUE,"small-world",5,0,NA,1024,1,30
"31","exponential",1,5,0,0,TRUE,"small-world",5,0,NA,1024,1,31
"32","rbf-friends",1,5,0,0,TRUE,"small-world",5,0,NA,1024,1,32
"33","linear",5,5,0,0,TRUE,"small-world",5,0,NA,1024,1,33
"34","sigmoid",10,10,0,0,TRUE,"small-world",5,0,NA,1024,1,34
"35","exponential",5,5,0,0,TRUE,"small-world",5,0,NA,1024,1,35
"36","rbf-friends",5,5,0,0,TRUE,"small-world",5,0,NA,1024,1,36
"37","linear",0,0,1,0,FALSE,"small-world",5,0,NA,1024,1,37
"38","sigmoid",0,0,1,0,FALSE,"small-world",5,0,NA,1024,1,38
"39","exponential",0,0,1,0,FALSE,"small-world",5,0,NA,1024,1,39
"40","rbf-friends",0,0,1,0,FALSE,"small-world",5,0,NA,1024,1,40
"41","linear",1,0,1,0,FALSE,"small-world",5,0,NA,1024,1,41
"42","sigmoid",2,0,1,0,FALSE,"small-world",5,0,NA,1024,1,42
"43","exponential",1,0,1,0,FALSE,"small-world",5,0,NA,1024,1,43
"44","rbf-friends",1,0,1,0,FALSE,"small-world",5,0,NA,1024,1,44
"45","linear",5,0,1,0,FALSE,"small-world",5,0,NA,1024,1,45
"46","sigmoid",10,0,1,0,FALSE,"small-world",5,0,NA,1024,1,46
"47","exponential",5,0,1,0,FALSE,"small-world",5,0,NA,1024,1,47
"48","rbf-friends",5,0,1,0,FALSE,"small-world",5,0,NA,1024,1,48
"49","linear",0,1,1,0,FALSE,"small-world",5,0,NA,1024,1,49
"50","sigmoid",0,2,1,0,FALSE,"small-world",5,0,NA,1024,1,50
"51","exponential",0,1,1,0,FALSE,"small-world",5,0,NA,1024,1,51
"52","rbf-friends",0,1,1,0,FALSE,"small-world",5,0,NA,1024,1,52
"53","linear",1,1,1,0,FALSE,"small-world",5,0,NA,1024,1,53
"54","sigmoid",2,2,1,0,FALSE,"small-world",5,0,NA,1024,1,54
"55","exponential",1,1,1,0,FALSE,"small-world",5,0,NA,1024,1,55
"56","rbf-friends",1,1,1,0,FALSE,"small-world",5,0,NA,1024,1,56
"57","linear",5,1,1,0,FALSE,"small-world",5,0,NA,1024,1,57
"58","sigmoid",10,2,1,0,FALSE,"small-world",5,0,NA,1024,1,58
"59","exponential",5,1,1,0,FALSE,"small-world",5,0,NA,1024,1,59
"60","rbf-friends",5,1,1,0,FALSE,"small-world",5,0,NA,1024,1,60
"61","linear",0,5,1,0,FALSE,"small-world",5,0,NA,1024,1,61
"62","sigmoid",0,10,1,0,FALSE,"small-world",5,0,NA,1024,1,62
"63","exponential",0,5,1,0,FALSE,"small-world",5,0,NA,1024,1,63
"64","rbf-friends",0,5,1,0,FALSE,"small-world",5,0,NA,1024,1,64
"65","linear",1,5,1,0,FALSE,"small-world",5,0,NA,1024,1,65
"66","sigmoid",2,10,1,0,FALSE,"small-world",5,0,NA,1024,1,66
"67","exponential",1,5,1,0,FALSE,"small-world",5,0,NA,1024,1,67
"68","rbf-friends",1,5,1,0,FALSE,"small-world",5,0,NA,1024,1,68
"69","linear",5,5,1,0,FALSE,"small-world",5,0,NA,1024,1,69
"70","sigmoid",10,10,1,0,FALSE,"small-world",5,0,NA,1024,1,70
"71","exponential",5,5,1,0,FALSE,"small-world",5,0,NA,1024,1,71
"72","rbf-friends",5,5,1,0,FALSE,"small-world",5,0,NA,1024,1,72
"73","linear",0,0,3,0,FALSE,"small-world",5,0,NA,1024,1,73
"74","sigmoid",0,0,3,0,FALSE,"small-world",5,0,NA,1024,1,74
"75","exponential",0,0,3,0,FALSE,"small-world",5,0,NA,1024,1,75
"76","rbf-friends",0,0,3,0,FALSE,"small-world",5,0,NA,1024,1,76
"77","linear",1,0,3,0,FALSE,"small-world",5,0,NA,1024,1,77
"78","sigmoid",2,0,3,0,FALSE,"small-world",5,0,NA,1024,1,78
"79","exponential",1,0,3,0,FALSE,"small-world",5,0,NA,1024,1,79
"80","rbf-friends",1,0,3,0,FALSE,"small-world",5,0,NA,1024,1,80
"81","linear",5,0,3,0,FALSE,"small-world",5,0,NA,1024,1,81
"82","sigmoid",10,0,3,0,FALSE,"small-world",5,0,NA,1024,1,82
"83","exponential",5,0,3,0,FALSE,"small-world",5,0,NA,1024,1,83
"84","rbf-friends",5,0,3,0,FALSE,"small-world",5,0,NA,1024,1,84
"85","linear",0,1,3,0,FALSE,"small-world",5,0,NA,1024,1,85
"86","sigmoid",0,2,3,0,FALSE,"small-world",5,0,NA,1024,1,86
"87","exponential",0,1,3,0,FALSE,"small-world",5,0,NA,1024,1,87
"88","rbf-friends",0,1,3,0,FALSE,"small-world",5,0,NA,1024,1,88
"89","linear",1,1,3,0,FALSE,"small-world",5,0,NA,1024,1,89
"90","sigmoid",2,2,3,0,FALSE,"small-world",5,0,NA,1024,1,90
"91","exponential",1,1,3,0,FALSE,"small-world",5,0,NA,1024,1,91
"92","rbf-friends",1,1,3,0,FALSE,"small-world",5,0,NA,1024,1,92
"93","linear",5,1,3,0,FALSE,"small-world",5,0,NA,1024,1,93
"94","sigmoid",10,2,3,0,FALSE,"small-world",5,0,NA,1024,1,94
"95","exponential",5,1,3,0,FALSE,"small-world",5,0,NA,1024,1,95
"96","rbf-friends",5,1,3,0,FALSE,"small-world",5,0,NA,1024,1,96
"97","linear",0,5,3,0,FALSE,"small-world",5,0,NA,1024,1,97
"98","sigmoid",0,10,3,0,FALSE,"small-world",5,0,NA,1024,1,98
"99","exponential",0,5,3,0,FALSE,"small-world",5,0,NA,1024,1,99
"100","rbf-friends",0,5,3,0,FALSE,"small-world",5,0,NA,1024,1,100
"101","linear",1,5,3,0,FALSE,"small-world",5,0,NA,1024,1,101
"102","sigmoid",2,10,3,0,FALSE,"small-world",5,0,NA,1024,1,102
"103","exponential",1,5,3,0,FALSE,"small-world",5,0,NA,1024,1,103
"104","rbf-friends",1,5,3,0,FALSE,"small-world",5,0,NA,1024,1,104
"105","linear",5,5,3,0,FALSE,"small-world",5,0,NA,1024,1,105
"106","sigmoid",10,10,3,0,FALSE,"small-world",5,0,NA,1024,1,106
"107","exponential",5,5,3,0,FALSE,"small-world",5,0,NA,1024,1,107
"108","rbf-friends",5,5,3,0,FALSE,"small-world",5,0,NA,1024,1,108
"109","linear",0,0,1,1,FALSE,"small-world",5,0,NA,1024,1,109
"110","sigmoid",0,0,1,1,FALSE,"small-world",5,0,NA,1024,1,110
"111","exponential",0,0,1,1,FALSE,"small-world",5,0,NA,1024,1,111
"112","rbf-friends",0,0,1,1,FALSE,"small-world",5,0,NA,1024,1,112
"113","linear",1,0,1,1,FALSE,"small-world",5,0,NA,1024,1,113
"114","sigmoid",2,0,1,1,FALSE,"small-world",5,0,NA,1024,1,114
"115","exponential",1,0,1,1,FALSE,"small-world",5,0,NA,1024,1,115
"116","rbf-friends",1,0,1,1,FALSE,"small-world",5,0,NA,1024,1,116
"117","linear",5,0,1,1,FALSE,"small-world",5,0,NA,1024,1,117
"118","sigmoid",10,0,1,1,FALSE,"small-world",5,0,NA,1024,1,118
"119","exponential",5,0,1,1,FALSE,"small-world",5,0,NA,1024,1,119
"120","rbf-friends",5,0,1,1,FALSE,"small-world",5,0,NA,1024,1,120
"121","linear",0,1,1,1,FALSE,"small-world",5,0,NA,1024,1,121
"122","sigmoid",0,2,1,1,FALSE,"small-world",5,0,NA,1024,1,122
"123","exponential",0,1,1,1,FALSE,"small-world",5,0,NA,1024,1,123
"124","rbf-friends",0,1,1,1,FALSE,"small-world",5,0,NA,1024,1,124
"125","linear",1,1,1,1,FALSE,"small-world",5,0,NA,1024,1,125
"126","sigmoid",2,2,1,1,FALSE,"small-world",5,0,NA,1024,1,126
"127","exponential",1,1,1,1,FALSE,"small-world",5,0,NA,1024,1,127
"128","rbf-friends",1,1,1,1,FALSE,"small-world",5,0,NA,1024,1,128
"129","linear",5,1,1,1,FALSE,"small-world",5,0,NA,1024,1,129
"130","sigmoid",10,2,1,1,FALSE,"small-world",5,0,NA,1024,1,130
"131","exponential",5,1,1,1,FALSE,"small-world",5,0,NA,1024,1,131
"132","rbf-friends",5,1,1,1,FALSE,"small-world",5,0,NA,1024,1,132
"133","linear",0,5,1,1,FALSE,"small-world",5,0,NA,1024,1,133
"134","sigmoid",0,10,1,1,FALSE,"small-world",5,0,NA,1024,1,134
"135","exponential",0,5,1,1,FALSE,"small-world",5,0,NA,1024,1,135
"136","rbf-friends",0,5,1,1,FALSE,"small-world",5,0,NA,1024,1,136
"137","linear",1,5,1,1,FALSE,"small-world",5,0,NA,1024,1,137
"138","sigmoid",2,10,1,1,FALSE,"small-world",5,0,NA,1024,1,138
"139","exponential",1,5,1,1,FALSE,"small-world",5,0,NA,1024,1,139
"140","rbf-friends",1,5,1,1,FALSE,"small-world",5,0,NA,1024,1,140
"141","linear",5,5,1,1,FALSE,"small-world",5,0,NA,1024,1,141
"142","sigmoid",10,10,1,1,FALSE,"small-world",5,0,NA,1024,1,142
"143","exponential",5,5,1,1,FALSE,"small-world",5,0,NA,1024,1,143
"144","rbf-friends",5,5,1,1,FALSE,"small-world",5,0,NA,1024,1,144
"145","linear",0,0,3,1,FALSE,"small-world",5,0,NA,1024,1,145
"146","sigmoid",0,0,3,1,FALSE,"small-world",5,0,NA,1024,1,146
"147","exponential",0,0,3,1,FALSE,"small-world",5,0,NA,1024,1,147
"148","rbf-friends",0,0,3,1,FALSE,"small-world",5,0,NA,1024,1,148
"149","linear",1,0,3,1,FALSE,"small-world",5,0,NA,1024,1,149
"150","sigmoid",2,0,3,1,FALSE,"small-world",5,0,NA,1024,1,150
"151","exponential",1,0,3,1,FALSE,"small-world",5,0,NA,1024,1,151
"152","rbf-friends",1,0,3,1,FALSE,"small-world",5,0,NA,1024,1,152
"153","linear",5,0,3,1,FALSE,"small-world",5,0,NA,1024,1,153
"154","sigmoid",10,0,3,1,FALSE,"small-world",5,0,NA,1024,1,154
"155","exponential",5,0,3,1,FALSE,"small-world",5,0,NA,1024,1,155
"156","rbf-friends",5,0,3,1,FALSE,"small-world",5,0,NA,1024,1,156
"157","linear",0,1,3,1,FALSE,"small-world",5,0,NA,1024,1,157
"158","sigmoid",0,2,3,1,FALSE,"small-world",5,0,NA,1024,1,158
"159","exponential",0,1,3,1,FALSE,"small-world",5,0,NA,1024,1,159
"160","rbf-friends",0,1,3,1,FALSE,"small-world",5,0,NA,1024,1,160
"161","linear",1,1,3,1,FALSE,"small-world",5,0,NA,1024,1,161
"162","sigmoid",2,2,3,1,FALSE,"small-world",5,0,NA,1024,1,162
"163","exponential",1,1,3,1,FALSE,"small-world",5,0,NA,1024,1,163
"164","rbf-friends",1,1,3,1,FALSE,"small-world",5,0,NA,1024,1,164
"165","linear",5,1,3,1,FALSE,"small-world",5,0,NA,1024,1,165
"166","sigmoid",10,2,3,1,FALSE,"small-world",5,0,NA,1024,1,166
