"","exposure.type","of.beta","ot.beta","confounding.coeff","treatment.autocorr.coeff","graph.cluster.randomization","graph.type","random.seed"
"1","linear",1,1,3,0,FALSE,"../../data/email-Enron.txt",1
"2","sigmoid",10,10,3,0,FALSE,"../../data/email-Enron.txt",2
"3","rbf-friends",1,1,3,0,FALSE,"../../data/email-Enron.txt",3
"4","linear",1,1,3,1,FALSE,"../../data/email-Enron.txt",4
"5","sigmoid",10,10,3,1,FALSE,"../../data/email-Enron.txt",5
"6","rbf-friends",1,1,3,1,FALSE,"../../data/email-Enron.txt",6
"7","linear",1,1,3,0,FALSE,"../../data/roadNet-CA.txt",7
"8","sigmoid",10,10,3,0,FALSE,"../../data/roadNet-CA.txt",8
"9","rbf-friends",1,1,3,0,FALSE,"../../data/roadNet-CA.txt",9
"10","linear",1,1,3,1,FALSE,"../../data/roadNet-CA.txt",10
"11","sigmoid",10,10,3,1,FALSE,"../../data/roadNet-CA.txt",11
"12","rbf-friends",1,1,3,1,FALSE,"../../data/roadNet-CA.txt",12
"13","linear",1,1,3,0,FALSE,"../../data/web-Stanford.txt",13
"14","sigmoid",10,10,3,0,FALSE,"../../data/web-Stanford.txt",14
"15","rbf-friends",1,1,3,0,FALSE,"../../data/web-Stanford.txt",15
"16","linear",1,1,3,1,FALSE,"../../data/web-Stanford.txt",16
"17","sigmoid",10,10,3,1,FALSE,"../../data/web-Stanford.txt",17
"18","rbf-friends",1,1,3,1,FALSE,"../../data/web-Stanford.txt",18
